,year,title,director,cast,genre,producer
659,2015,Darling,Sam Anton,"G. V. Prakash Kumar, Nikki Galrani, Karunas, Srushti Dange",Horror comedy,Studio GreenGeetha Arts
660,2015,Appavi Kateri,Ali Akbar,"Rafiq, Meera, Vimal",Horror,Gopikaa Movie Makers
661,2015,Aroopam,Vincent Jayaraj,"Deva, Darshitha",Thriller,Raana Pictures
662,2015,Thottal Thodarum,Cable Shankar,"Thaman Kumar, Arundhati",Romantic thriller,FCS Creations
663,2015,Dharani,Guhan Sambantham,"Aari, Elango Kumaravel, Ajay Krishna, Sandra Amy, Varunika",Action drama,Dream Factory
664,2015,Isai,S. J. Surya,"S. J. Surya, Sathyaraj, Savithri",Psychological thriller,SS Productions
665,2015,Killadi,A. Venkatesh,"Bharath, Nila",Action masala,Sri Saravana Creations
666,2015,Pulan Visaranai 2,R. K. Selvamani,"Prashanth, Karthika Mathew, Ashwini, R. K.",Crime thriller,I. V. Cine Productions
667,2015,Touring Talkies,S. A. Chandrasekhar,"S. A. Chandrasekhar, Papri Ghosh, Abi Saravanan, Gayatri Rema",Romantic thriller,Staar Makers
668,2015,Yennai Arindhaal,Gautham Menon,"Ajith Kumar, Arun Vijay, Trisha Krishnan, Anushka Shetty",Action drama,Sri Sai Ram Creations
669,2015,Ponge Ezhu Manohara,Ramesh Rangasamy,"Irfan, Arundathi Nair, Archana Vishwanath",Romantic comedy,Banyan Movies
670,2015,Anegan,K. V. Anand,"Dhanush, Amyra Dastur, Karthik",Romantic thriller,AGS Entertainment
671,2015,Mandodhari,Sampath,"Ranjith, Amar, Dhareena",Horror,Milestone Films
672,2015,Manitha Kadhal Alla,Agni,"Agni, Tarushi, Nassar",Romance,BlackSea Movies
673,2015,K3,M. S. Annadurai,"Vimal Raja, Aadhira",Thriller,Magic Media
674,2015,Sandamarutham,A. Venkatesh,"Sarath Kumar, Meera Nandan, Oviya",Action,Magic Frames
675,2015,Tamiluku En Ondrai Aluthavum,Ram Prakash Rayappa,"Attakathi Dinesh, Nakul, Bindu Madhavi, Aishwarya Dutta",Social thriller,VLS Rock Cinema
676,2015,Ettuthikkum Madhayaanai,K. S. Thangasamy,"Sathya, Sreemukhi",Action,Raattinam Pictures
677,2015,Kaaki Sattai,"R. S. Durai Senthilkumar,","Sivakarthikeyan, Sri Divya, Prabhu",Comedy masala,Wunderbar Films
678,2015,Manal Nagaram,Oru Thalai Raagam Shankar,"Prajin, Gautham Krishna, Thanishka, Varuna Shetty",Romantic drama,DJM Associates
679,2015,Vajram,Ramesh Selvan,"Sree Raam, Kishore, Pandi, Bhavani Reddy",Comedy drama,Sri Sairam Film Factory
680,2015,Bench Talkies - The First Bench,Six directors,"Vijay Sethupathi, Sananth Reddy",Anthology,Stone Bench Creations
681,2015,En Vazhi Thani Vazhi,Shaji Kailas,"R. K., Poonam Kaur, Meenakshi Dixit",Action,Makkal Paasarai
682,2015,Enakkul Oruvan,Prasad Ramar,"Siddharth, Deepa Sannidhi, Srushti Dange",Psychological thriller,Thirukumaran EntertainmentABI TCS Studios
683,2015,JK Enum Nanbanin Vaazhkai(Direct-to-video),Cheran,"Sharwanand, Nithya Menen, Prakash Raj",Drama,Dream Theatres
