,year,title,director,cast,genre,producer
1267,2011,Yuvan Yuvathi,G. N. R. Kumaravelan,"Bharath, Rima Kallingal",Romance,Produced by Ram Pictures
1268,2011,Mankatha,Venkat Prabhu,"Ajith Kumar, Arjun, Trisha, Lakshmi Rai, Andrea, Vaibhav, Anjali","Action, Thriller",Produced by Cloud Nine Movies
1269,2011,Ayudha Porattam,Jai Akash,"Jai Akash, Preeti Minal, Anita Reddy",Action,
1270,2011,Kasethan Kadavulada,Thirumalai,"Charan, Pandiarajan, Karunas, Kamna Jethmalani, Sathyan, Divya Padmini",Comedy,
1271,2011,Mathikettan Salai,G. Patturajan,"Adarsh, Divya Nagesh",Drama,
1272,2011,Engeyum Eppodhum,M. Saravanan,"Jai, Anjali, Sharvanand, Ananya",Romantic drama,Produced by Murugadoss Productions
1273,2011,Vanthaan Vendraan,R. Kannan,"Jiiva, Nandha, Taapsee Pannu",Action thriller,Produced by Vasan Visual Ventures
1274,2011,Aayiram Vilakku,S. P. Hosimin,"Sathyaraj, Shanthnoo Bhagyaraj, Sana Khan",Drama,Produced by HMI Pictures
1275,2011,Aduthathu,Thakkaali Srinivasan,"Sriman, Meenal, Ilavarasu, Nassar",Thriller,
1276,2011,Thigattadha Kadhal,Manoj,,Erotic,
1277,2011,Muran,Rajjan Madhav,"Prasanna, Cheran, Haripriya, Nikita Thukral, Suma Bhattacharya",Thriller,Produced by UTV Motion Pictures
1278,2011,Vaagai Sooda Vaa,A. Sargunam,"Vimal, Iniya, K. Bhagyaraj","Period piece, Romantic drama",Produced by Village Theatres
1279,2011,Vedi,Prabhu Deva,"Vishal, Sameera Reddy, Poonam Kaur",Action-masala,Produced by GK Productions
1280,2011,Vellore Maavattam,R. N. R. Manohar,"Nandha, Poorna",Action,Produced by AGS Entertainment
1281,2011,Sadhurangam,Karu Pazhaniappan,"Srikanth, Sonia Agarwal",Political drama,
1282,2011,Raa Raa,Sandilya,"Udhaya, Shweta Basu Prasad",Romantic comedy,
1283,2011,Varnam,S. M. Raju,"Giri, Ashwatha, Monica, Sampath Raj",,Drama
1284,2011,Varudangal 20,K. Kennedy,Meenkhotti,Erotic,
1285,2011,Keezhatheru Kicha,N. S. Madhavan,"Ramesh Ram, Dharsha, Natassha, Ganja Karuppu",Comedy,
1286,2011,Uyirin Yedai 21 Ayiri,E. L. Indrajith,"E.L.Indrajith, Thilagan, Sangamithra",Erotic,
1287,2011,7aam Arivu,A. R. Murugadoss,"Suriya, Shruti Haasan, Johnny Tri Nguyen, Avinash",Science fiction,Produced by Red Giant Movies
1288,2011,"26(Deepavali)
",Velayudham,M. Raja,"Vijay, Genelia D'Souza, Hansika Motwani, Saranya Mohan",Action-masala
1289,2011,Konjam Sirippu Konjam Kobam,Sampoornam,"Mahesh, Anusha",Romance,Produced by Sri Ashtalakshmi Films
1290,2011,Naa Sivanagiren,V. K. Gnanashekar,"Udhay Karthik, Varsha, Aditya, Premkumar, Sugumar",,Produced by MN Creations
1291,2011,Thambi Vettothi Sundaram,Vadivudaiyan,"Karan, Anjali, Saravanan",Drama,Produced by JS 24 Frames
1292,2011,Vithagan,R. Parthiban,"Parthiban, Poorna, Milind Soman",Action,Produced by Seventh Channel Entertainment
1293,2011,Marudhavelu,RKR Adhimolam,"Kailash, Akansha, Nakshatra",,Produced by S Shanmugapandian
1294,2011,Mayakkam Enna,Selvaraghavan,"Dhanush, Richa Gangopadhyay",Romantic drama,Produced by Aum Productions
1295,2011,Othigai,A. M. Bhaskar,"Jai Akash, Archana Sharma",Romance,
1296,2011,Paalai,Senthamizhan,"Shammu, Sunil",Drama,
1297,2011,Poraali,Samuthirakani,"M. Sasikumar, Allari Naresh, Swati Reddy, Vasundhara, Niveda",Action-Drama film,Produced by Company Productions
1298,2011,Osthi,Dharani,"Silambarasan, Richa Gangopadhyay, Githan Ramesh, Sonu Sood",Action-masala film,Produced by Balaji Real Media
1299,2011,Venmani,Kathaka Thirumavalavan,Karthik Jai,,Karthik Jai Movies
1300,2011,Neeye En Kadhali,Chinni Jayanth,Chinni Jayanth,,
1301,2011,Mambattiyan,Thyagarajan,"Prashanth, Meera Jasmine, Mumaith Khan",Action,Produced by Lakshmi Shanthi Movies
1302,2011,Uchithanai Muharnthaal,Pughazhendi Thangaraj,"Neenika, Sathyaraj, Seeman, Sangeetha",Drama,Produced by Global Media & Entertainment
1303,2011,Mouna Guru,Shantha Kumar,"Arulnithi, Iniya, John Vijay, Uma Riyaz Khan",Action,Produced by Mohana Movies
1304,2011,Rajapattai,Suseenthiran,"Vikram, Deeksha Seth, K. Vishwanath",Action-masala,Produced by PVP Cinema
1305,2011,Mahaan Kanakku,Sampath,"Ramana, Reecha Sinha",,
1306,2011,Maharaja,Manoharan,"Sathya, Anjali, Nassar, Anita Hassanandani",Comedy,
1307,2011,Paavi,,,,
1308,2011,Padhinettan Kudi Ellai Arambam,,Prithvi Rajan,,
1309,2011,Karuthakannan Rekla Race,,,,
1310,2011,Vazhividu Kanney Vazhividu,,,,
